"Time","Download","Upload"
"02/14/2021 00:33:50","13.30","10.18"
"02/14/2021 00:43:43","16.13","14.71"
"02/14/2021 00:48:44","5.43","10.11"
"02/14/2021 00:58:38","10.45","17.07"
"02/14/2021 01:08:33","22.17","18.43"
"02/14/2021 01:18:43","8.95","17.31"
"02/14/2021 01:28:28","69.52","18.41"
"02/14/2021 01:38:30","47.96","18.57"
"02/14/2021 01:48:22","66.08","18.55"
"02/14/2021 01:58:24","74.38","18.60"
"02/14/2021 02:08:28","73.03","18.41"
"02/14/2021 02:18:26","51.25","18.43"
"02/15/2021 09:48:34","63.15","18.42"
"02/15/2021 09:58:29","40.66","18.58"
