"Time","Download","Upload"
"03/12/2021 00:00:26","71.93","18.43"
"03/12/2021 00:10:21","74.73","18.71"
"03/12/2021 00:15:22","74.72","18.71"
"03/12/2021 00:20:20","75.23","18.70"
"03/12/2021 00:25:20","73.90","18.43"
"03/12/2021 00:30:20","73.88","18.43"
"03/12/2021 00:35:20","64.61","18.20"
"03/12/2021 00:40:20","75.05","18.38"
"03/12/2021 00:45:21","73.95","18.42"
"03/12/2021 00:50:21","73.99","18.69"
"03/12/2021 00:55:22","73.75","18.41"
"03/12/2021 01:35:20","75.07","18.69"
"03/12/2021 01:40:22","73.95","18.43"
"03/12/2021 01:45:18","73.58","18.41"
"03/12/2021 01:50:19","73.92","18.44"
"03/12/2021 01:55:19","73.33","18.41"
"03/12/2021 02:05:20","75.05","18.70"
"03/12/2021 02:10:23","74.87","18.70"
"03/12/2021 02:15:19","73.39","18.69"
"03/12/2021 02:20:20","73.99","18.45"
